video_id,title,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,active_since_days
v=lRHfuH2tD5Q,PRICELESS HACKS AND CRAFTS FOR SMART PARENTS,3780,300954,44,7,0,7,0,2,6.285714285714286,0,0,0.6071428571428571,1
v=Vq_WrH4mmGY,Fun Activities and Cool Crafts for Parents to Do With Their Kids,576,383200,64,12,0,0,3,6,5.333333333333333,0,0,0.32499999999999996,1
v=-QEM4HweTys,IF OBJECTS WERE PEOPLE || Funny Situations And Relatable Moments,900,131273,64,10,2,4,0,3,6.4,0,0,0.25,2
v=foMm6pE0L7o,Brilliant Hacks & Crafts All Parents Should Know,900,277264,48,8,1,0,0,2,6.0,0,0,0.9,3
v=_VjRtjLi0w8,30+ AMAZING CRAFT IDEAS & HACKS WITH 3D PEN,960,549777,43,9,2,7,0,1,4.777777777777778,1,1,0.6000000000000001,3
v=4FJlhjscg2k,Food Hacks & Snack Ideas For The Best Parents Ever,1020,279299,50,10,1,0,0,2,5.0,0,0,1.0,4
v=4kOFS6Sqqy8,SPOOKY HALLOWEEN IDEAS || Easy Halloween Recipes and DIYs,603,454240,57,9,2,3,1,1,6.333333333333333,0,0,0.43333333333333335,4
v=cUahECNuupY,AMAZING GARDEN HACKS & PLANTING IDEAS,900,255306,37,6,1,5,0,0,6.166666666666667,0,0,0.6000000000000001,5
v=bMHGju6H4uo,KIDS vs DOCTOR👩‍⚕💉 || All Parents Should Know These Valuable Life Hacks,3660,661450,71,12,2,2,1,3,5.916666666666667,0,0,0.0,6
v=Fp33nUQEVu8,"MYSTERY BOX CHALLENGE! Popular TikTok Challenges, Games And Experiments",900,215677,71,9,2,3,0,1,7.888888888888889,0,0,0.6,6
v=EaFHCa51558,"POP IT MEGA COMPILATION || Best Crafts, Fun DIYs And Life Hacks",900,508229,63,12,3,4,0,2,5.25,0,0,0.65,5
v=2unLZvJpOxE,50 CREATIVE WAYS TO COOK EGGS,900,298013,29,6,0,5,0,1,4.833333333333333,1,1,0.5,5
v=NQYtgTKFB3M,PARENTING IS EASY! Top Hacks & Crafts From Smart Parents,960,579207,56,10,2,3,0,2,5.6,0,0,0.41865079365079366,5
v=iKwhW7gYwl4,BEST WEDDING DAY HACKS FOR SMART BRIDES AND GROOMS,611,1059673,50,9,0,9,0,2,5.555555555555555,0,0,0.6071428571428571,5
v=Ebrp_VSInls,BEST PET GADGETS AND HACKS EVERY PET OWNER SHOULD KNOW,960,1268020,54,10,0,10,0,2,5.4,0,0,1.0,5
